股票日期,股票成交股數,股票成交金額,股票開盤價,股票最高價,股票最低價,股票收盤價,股票漲跌價差,股票成交筆數,大盤成交股數,大盤成交金額,大盤成交筆數,大盤發行量加權股價指數,大盤漲跌點數
105/05/12,"38,675,054","443,688,391",11.50,11.60,11.40,11.40,+0.15,"6,764","3,556,435,361","68,548,502,596","669,426","8,108.05",-27.51
105/05/13,"38,105,203","429,324,261",11.35,11.35,11.20,11.30,-0.10,"8,172","4,225,037,084","89,924,012,838","909,771","8,053.69",-54.36
105/05/16,"25,451,098","289,547,929",11.20,11.45,11.20,11.45,+0.15,"5,292","3,236,743,232","64,686,301,497","667,038","8,067.60",13.91
105/05/17,"36,772,049","421,637,424",11.40,11.55,11.35,11.55,+0.10,"9,788","3,604,249,794","66,672,653,501","700,842","8,140.48",72.88
105/05/18,"28,008,321","320,629,976",11.40,11.55,11.35,11.55, 0.00,"5,391","3,491,764,921","65,383,955,852","701,281","8,159.68",19.20
105/05/19,"33,075,957","378,055,786",11.45,11.50,11.35,11.50,-0.05,"7,459","3,094,933,678","60,422,574,449","644,954","8,095.98",-63.70
105/05/20,"27,719,666","317,529,090",11.40,11.55,11.40,11.55,+0.05,"6,107","2,850,865,571","58,263,286,174","568,897","8,131.26",35.28
105/05/23,"37,639,802","439,005,422",11.45,11.80,11.40,11.80,+0.25,"6,824","4,649,021,224","90,554,982,570","842,513","8,344.44",213.18
105/05/24,"23,921,797","280,458,576",11.70,11.80,11.65,11.80, 0.00,"4,919","3,555,561,356","64,637,921,213","675,116","8,300.66",-43.78
105/05/25,"55,060,018","658,450,499",11.90,12.15,11.80,12.00,+0.20,"7,468","4,049,980,878","80,459,911,960","783,978","8,396.20",95.54
105/05/26,"30,516,666","366,566,242",12.00,12.10,11.90,12.10,+0.10,"5,948","3,564,495,997","65,478,914,576","674,618","8,394.12",-2.08
105/05/27,"21,362,215","258,567,897",12.15,12.15,12.05,12.15,+0.05,"4,940","3,409,655,231","68,626,136,475","675,938","8,463.61",69.49
105/05/30,"23,966,053","291,263,694",12.10,12.20,12.05,12.20,+0.05,"4,719","3,779,180,371","78,124,791,178","726,736","8,535.87",72.26
105/05/31,"44,053,551","536,699,524",12.15,12.20,12.10,12.20, 0.00,"4,452","4,925,321,959","115,600,250,014","794,488","8,535.59",-0.28
