日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/11/06,"211,878,828","2,323,052,883",11.05,11.20,10.75,10.90,+0.15,"21,705"
107/11/07,"108,859,652","1,191,349,143",11.00,11.10,10.80,10.95,+0.05,"11,305"
107/11/08,"154,165,512","1,670,155,772",11.00,11.00,10.65,10.85,-0.10,"17,010"
107/11/09,"118,601,055","1,257,888,917",10.80,10.85,10.50,10.60,-0.25,"13,071"
107/11/12,"93,985,885","995,718,526",10.55,10.70,10.45,10.70,+0.10,"10,299"
107/11/13,"118,463,337","1,243,693,834",10.50,10.60,10.40,10.45,-0.25,"12,585"
107/11/14,"78,000,233","833,959,210",10.50,10.85,10.45,10.80,+0.35,"12,442"
107/11/15,"88,478,611","976,626,908",10.90,11.25,10.85,11.20,+0.40,"14,102"
107/11/16,"88,373,588","977,064,818",11.30,11.30,10.90,11.00,-0.20,"12,994"
107/11/19,"51,529,509","567,253,295",10.95,11.10,10.85,11.10,+0.10,"7,011"
107/11/20,"35,297,856","388,682,966",11.00,11.10,10.90,11.00,-0.10,"5,357"
107/11/21,"30,692,619","338,782,409",10.95,11.15,10.90,11.00, 0.00,"6,031"
107/11/22,"39,139,506","436,228,590",11.05,11.20,11.00,11.20,+0.20,"5,367"
107/11/23,"29,624,385","330,855,795",11.20,11.25,11.05,11.15,-0.05,"4,696"
107/11/26,"42,897,802","491,253,112",11.20,11.55,11.20,11.50,+0.35,"7,112"
107/11/27,"49,199,712","571,059,537",11.55,11.80,11.40,11.75,+0.25,"7,855"
107/11/28,"54,350,180","637,612,329",11.75,11.85,11.60,11.75, 0.00,"9,102"
107/11/29,"51,312,633","600,826,442",11.85,11.85,11.50,11.50,-0.25,"6,969"
107/11/30,"122,685,538","1,418,019,614",11.55,11.70,11.40,11.55,+0.05,"7,084"
107/12/03,"69,986,070","824,034,669",11.70,11.85,11.70,11.70,+0.15,"7,436"
107/12/04,"57,135,658","675,530,735",11.75,11.90,11.70,11.80,+0.10,"6,007"
107/12/05,"37,958,349","441,717,053",11.65,11.70,11.50,11.55,-0.25,"5,641"
107/12/06,"53,465,490","605,960,401",11.55,11.55,11.20,11.30,-0.25,"12,222"
107/12/07,"41,314,094","463,444,675",11.30,11.35,11.10,11.20,-0.10,"7,583"
107/12/10,"29,147,847","323,977,428",11.10,11.20,11.05,11.10,-0.10,"4,648"
107/12/11,"43,093,155","474,654,555",11.00,11.10,10.90,11.00,-0.10,"6,014"
107/12/12,"41,642,151","467,632,645",11.10,11.40,11.00,11.30,+0.30,"6,876"
107/12/13,"60,680,361","696,251,855",11.35,11.55,11.35,11.50,+0.20,"6,458"
107/12/14,"43,980,055","499,532,299",11.40,11.50,11.25,11.35,-0.15,"4,942"
107/12/17,"47,487,219","543,439,856",11.40,11.55,11.35,11.40,+0.05,"5,042"
107/12/18,"44,070,825","496,266,621",11.30,11.35,11.20,11.20,-0.20,"4,439"
107/12/19,"59,388,708","672,387,283",11.25,11.45,11.20,11.30,+0.10,"6,951"
107/12/20,"41,050,768","466,684,017",11.25,11.45,11.20,11.30, 0.00,"5,902"
107/12/21,"63,593,203","723,813,575",11.30,11.45,11.25,11.40,+0.10,"5,335"
107/12/22,"14,652,449","165,468,829",11.35,11.40,11.20,11.25,-0.15,"2,888"
107/12/24,"25,863,419","291,347,364",11.30,11.35,11.15,11.20,-0.05,"3,829"
107/12/25,"11,846,569","131,923,518",11.10,11.20,11.05,11.15,-0.05,"3,109"
107/12/26,"12,700,965","142,239,327",11.20,11.25,11.15,11.20,+0.05,"3,078"
107/12/27,"20,757,329","233,929,452",11.35,11.40,11.20,11.25,+0.05,"4,446"
107/12/28,"17,480,997","196,782,538",11.25,11.30,11.20,11.25, 0.00,"1,958"
108/01/02,"18,798,696","210,286,552",11.30,11.35,11.10,11.10,-0.15,"3,496"
108/01/03,"49,252,981","535,016,316",11.10,11.10,10.75,10.90,-0.20,"7,582"
108/01/04,"43,041,214","459,379,450",10.70,10.75,10.55,10.70,-0.20,"7,223"
