股票日期,股票成交股數,股票成交金額,股票開盤價,股票最高價,股票最低價,股票收盤價,股票漲跌價差,股票成交筆數,發行量加權股價指數開盤指數,發行量加權股價指數最高指數,發行量加權股價指數最低指數,發行量加權股價指數收盤指數
104/06/12,"3,934,237","47,161,343",11.75,12.25,11.75,11.85,+0.35,"1,290","9,304.75","9,339.33","9,263.41","9,301.93"
104/06/15,"1,923,292","22,891,044",12.00,12.05,11.80,11.90,+0.05,775,"9,304.66","9,324.94","9,252.34","9,259.48"
104/06/16,"2,010,300","23,583,958",11.90,11.90,11.65,11.70,-0.20,614,"9,272.70","9,272.70","9,177.95","9,212.78"
104/06/17,"1,724,029","20,349,440",11.70,11.90,11.70,11.80,+0.10,763,"9,232.81","9,242.22","9,170.09","9,189.83"
104/06/18,"1,602,805","19,245,510",11.85,12.15,11.85,12.05,+0.25,657,"9,189.44","9,243.84","9,187.87","9,218.37"
104/06/22,"4,338,837","53,749,494",12.20,12.60,12.05,12.35,+0.30,"1,292","9,247.76","9,371.48","9,247.76","9,341.77"
104/06/23,"2,069,890","25,639,339",12.45,12.60,12.25,12.35, 0.00,620,"9,375.78","9,438.39","9,375.78","9,391.14"
104/06/24,"2,227,712","27,146,513",12.35,12.40,12.05,12.10,-0.25,"1,162","9,390.27","9,409.44","9,364.38","9,397.31"
104/06/25,"2,137,502","26,028,047",12.20,12.30,12.10,12.25,+0.15,858,"9,415.78","9,500.57","9,415.78","9,476.34"
104/06/26,"5,364,801","66,995,711",12.30,12.70,12.25,12.70,+0.45,"1,998","9,481.95","9,489.91","9,442.94","9,462.57"
104/06/29,"4,349,645","54,109,965",12.70,12.70,12.25,12.25,-0.45,"1,509","9,358.96","9,358.96","9,227.11","9,236.10"
104/06/30,"2,194,793","27,055,001",12.25,12.50,12.25,12.30,+0.05,677,"9,223.27","9,323.02","9,204.45","9,323.02"
104/07/01,"3,368,052","42,191,854",12.35,12.65,12.35,12.60,+0.30,"1,189","9,311.76","9,404.76","9,298.36","9,375.23"
104/07/02,"2,669,058","33,714,931",12.70,12.70,12.50,12.70,+0.10,922,"9,372.46","9,400.68","9,350.05","9,379.24"
104/07/03,"1,883,078","23,806,785",12.70,12.70,12.50,12.65,-0.05,776,"9,369.50","9,369.50","9,265.14","9,358.23"
104/07/06,"1,901,701","23,886,495",12.60,12.70,12.45,12.55,-0.10,681,"9,309.86","9,347.54","9,255.96","9,255.96"
104/07/07,"1,813,101","22,905,961",12.60,12.75,12.50,12.55, 0.00,488,"9,278.33","9,332.97","9,244.46","9,250.16"
104/07/08,"3,226,500","39,142,948",12.60,12.60,11.80,12.00,-0.55,"1,164","9,225.91","9,225.91","8,946.75","8,976.11"
104/07/09,"2,498,011","30,029,387",11.80,12.45,11.50,12.45,+0.45,830,"8,861.28","8,946.24","8,750.92","8,914.13"
