股票日期,股票成交股數,股票成交金額,股票開盤價,股票最高價,股票最低價,股票收盤價,股票漲跌價差,股票成交筆數,大盤成交股數,大盤成交金額,大盤成交筆數,大盤發行量加權股價指數,大盤漲跌點數
105/08/11,"2,987,407","29,013,737",9.65,9.80,9.64,9.80,-0.11,993
105/08/12,"1,344,756","13,139,659",9.80,9.85,9.73,9.75,-0.05,434
105/08/15,"2,645,322","25,327,804",9.70,9.70,9.50,9.63,-0.12,824
105/08/16,"1,267,682","12,322,949",9.66,9.83,9.64,9.82,+0.19,572
105/08/17,"1,290,797","12,612,714",9.75,9.84,9.75,9.80,-0.02,704
105/08/18,"1,052,714","10,305,616",9.80,9.82,9.75,9.79,-0.01,598
105/08/19,"1,027,902","10,069,940",9.81,9.86,9.74,9.80,+0.01,541
105/08/22,"707,930","6,930,150",9.79,9.83,9.72,9.83,+0.03,412
105/08/23,"919,448","9,099,615",9.83,9.94,9.83,9.92,+0.09,374
105/08/24,"1,483,175","14,695,893",9.94,9.98,9.85,9.94,+0.02,491
105/08/25,"1,321,520","13,148,020",9.86,9.98,9.86,9.95,+0.01,610
105/08/26,"2,813,514","28,213,777",9.95,10.10,9.90,10.00,+0.05,738
105/08/29,"2,008,148","20,290,980",10.00,10.20,10.00,10.10,+0.10,694
105/08/30,"2,274,826","23,262,332",10.10,10.35,10.10,10.20,+0.10,720
105/08/31,"1,671,430","16,927,688",10.25,10.30,10.00,10.20, 0.00,452
105/09/01,"795,450","8,038,200",10.10,10.25,10.05,10.10,-0.10,318
105/09/02,"1,454,859","14,465,099",10.15,10.15,9.90,9.93,-0.17,383
105/09/05,"811,926","8,145,295",9.93,10.15,9.93,10.05,+0.12,249
105/09/06,"628,942","6,338,712",10.05,10.15,10.00,10.10,+0.05,192
105/09/07,"1,348,285","13,537,010",10.10,10.15,9.98,10.10, 0.00,393
105/09/08,"895,651","8,962,888",10.00,10.05,9.99,10.00,-0.10,346
105/09/09,"6,115,671","63,306,952",10.25,10.50,10.20,10.30,+0.30,"1,751"
105/09/10,"946,558","9,635,361",10.15,10.25,10.10,10.20,-0.10,279
105/09/12,"1,228,007","12,406,470",10.25,10.25,10.05,10.10,-0.10,318
105/09/13,"1,488,227","14,952,009",10.20,10.20,10.00,10.00,-0.10,291
105/09/14,"1,400,091","13,977,933",10.05,10.10,9.95,10.05,+0.05,331
105/09/19,"1,223,641","12,285,250",10.10,10.15,9.98,10.05, 0.00,337
105/09/20,"1,896,024","19,176,340",10.10,10.20,10.00,10.05, 0.00,439
105/09/21,"810,618","8,218,287",10.10,10.20,10.05,10.20,+0.15,341
105/09/22,"788,601","7,976,163",10.25,10.25,10.05,10.15,-0.05,234
105/09/23,"634,896","6,425,598",10.15,10.15,10.10,10.15, 0.00,194
105/09/26,"498,924","5,037,280",10.15,10.15,10.05,10.15, 0.00,170
105/09/29,"681,874","6,886,740",10.15,10.15,10.00,10.15, 0.00,210
105/09/30,"768,137","7,724,070",10.10,10.10,10.00,10.10,-0.05,226
105/10/03,"1,032,539","10,439,636",10.15,10.15,10.00,10.15,+0.05,330
105/10/04,"1,348,420","13,763,733",10.10,10.25,10.10,10.25,+0.10,414
105/10/05,"1,276,228","13,117,724",10.15,10.30,10.15,10.30,+0.05,376
105/10/06,"2,217,855","23,056,693",10.35,10.50,10.30,10.40,+0.10,659
105/10/07,"1,672,211","17,295,220",10.35,10.45,10.25,10.35,-0.05,562
