"序號","公司代號","公司名稱","董事會決議日期","買回目的","買回股份總金額上限(依最新財報計算之法定上限)","預定買回股數","買回價格區間-最低","買回價格區間-最高","預定買回期間-起","預定買回期間-迄","是否執行完畢","買回達一定標準資料","本次已買回股數(空白為尚在執行中)","本次執行完畢已註銷或轉讓股數","本次已買回股數佔預定買回股數比例(%)(空白為尚<br>在執行中)","本次已買回總金額(空白為尚在執行中)","本次平均每股買回價格(空白為尚在執行中)","本次買回股數佔公司已發行股份總數比例(%)(空白為尚在執行中)","本次未執行完畢之原因"
"1","2543","皇昌","2016/06/04","1",108768708,2000000,8.60,12.50,"2016/06/06","2016/08/05","Y","查詢",2000000,"",100.00,21027454,10.51,0.83,""
"2","2323","中環","2016/06/07","3",3198661740,30000000,2.70,5.00,"2016/06/13","2016/08/05","Y","查詢",27340000,27340000,91.13,104382004,3.82,1.41,"為維護整體股東權益及兼顧市場機制，視股價變化於價格區間內採分批買回策略，故未執行完畢"
"3","6120","達運","2016/06/07","3",3992748377,36000000,9.00,14.00,"2016/06/13","2016/08/05","Y","查詢",34961000,34961000,97.11,460100992,13.16,4.99,"本次買回執行率已達97.11%，整體執行率應屬尚可。"
"4","2020","美亞","2016/06/17","3",428582106,3000000,8.44,18.51,"2016/06/20","2016/08/19","Y","查詢",3000000,3000000,100.00,37164572,12.39,1.24,""
"5","2514","龍邦","2016/06/27","3",1187085000,5000000,16.00,25.00,"2016/06/28","2016/08/26","Y","查詢",5000000,5000000,100.00,83611972,16.72,0.90,""
"6","3296","勝德","2016/06/27","3",608624591,5000000,8.19,17.00,"2016/06/28","2016/08/26","Y","查詢",5000000,5000000,100.00,68345029,13.67,4.62,""
"7","2030","彰源","2016/06/29","1",367953100,3000000,9.00,13.00,"2016/06/29","2016/08/26","Y","查詢",1669000,1669000,55.63,16736948,10.03,0.58,"為顧及股東權益及未來員工認股意願，買回股份期間股價呈穩定趨勢，採取低接不追高原則，因而未依原預定數量完全執行完畢。"
"8","6128","上福","2016/07/05","3",717207781,3500000,29.00,59.00,"2016/07/06","2016/09/04","Y","查詢",3500000,3500000,100.00,154720187,44.21,3.84,""
"9","3041","揚智","2016/07/08","1",2348247984,3100000,13.00,25.80,"2016/07/11","2016/09/10","Y","查詢",3100000,2155089,100.00,53278207,17.19,1.02,""
"10","5907","大洋-KY","2016/07/28","1",8079289731,7357000,20.00,35.00,"2016/07/29","2016/09/27","Y","查詢",4539000,4539000,61.70,112242757,24.73,2.28,"為維護整體股東權益，本公司視股價變化採分批買回策略，故未能執行完畢。"
"11","1605","華新","2016/07/29","3",24844763000,120000000,7.40,11.00,"2016/07/30","2016/09/28","Y","查詢",120000000,120000000,100.00,1236612725,10.31,3.41,""
"12","2841","台開","2016/07/29","1",1008439821,10000000,10.00,14.00,"2016/08/01","2016/09/30","Y","查詢",6700000,6700000,67.00,70996411,10.60,0.92,"因股價尚屬穩定,為兼顧市場及有效運用資金,故未予以執行完畢"
"13","3661","世芯-KY","2016/07/29","3",1920592747,1000000,19.01,41.21,"2016/08/01","2016/09/28","Y","查詢",865000,865000,86.50,21692815,25.08,1.40,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採分批買回策略，故未執行完畢。"
"14","4532","瑞智","2016/08/02","1",1823600950,5000000,20.00,35.00,"2016/08/02","2016/10/01","Y","查詢",456000,456000,9.12,13976020,30.65,0.10,"為兼顧協調市場機制，有效資金運用，故未全數買回"
"15","2101","南港","2016/08/04","3",695918115,15000000,27.00,33.50,"2016/08/05","2016/10/04","Y","查詢",15000000,"",100.00,459264288,30.62,1.80,""
"16","8261","富鼎","2016/08/04","3",364162943,1000000,18.00,30.00,"2016/08/05","2016/10/04","Y","查詢",309000,309000,30.90,8032191,25.99,0.38,"考量買回期間股價尚稱合理,且為維護本公司股東權益,故未全數執行完畢"
"17","1626","艾美特-KY","2016/08/05","3",1218783631,1000000,18.35,38.75,"2016/08/08","2016/10/07","Y","查詢",41000,41000,4.10,1087741,26.53,0.03,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採行分批買回策略，故未執行完畢。"
"18","8213","志超","2016/08/09","1",7046134265,10000000,22.00,45.00,"2016/08/09","2016/10/08","Y","查詢",10000000,10000000,100.00,313620831,31.36,3.69,""
"19","2367","燿華","2016/08/10","3",2474991485,10000000,6.94,15.10,"2016/08/11","2016/10/10","Y","查詢",10000000,10000000,100.00,99913781,9.99,1.80,""
"20","2365","昆盈","2016/08/11","3",1287641382,5000000,8.00,13.50,"2016/08/12","2016/10/10","Y","查詢",5000000,5000000,100.00,46549504,9.31,1.74,""
"21","3305","昇貿","2016/08/11","1",2673235000,3000000,23.00,36.00,"2016/08/12","2016/10/11","Y","查詢",1285000,1285000,42.83,39155064,30.47,1.06,"本次未執行完畢之原因：為考量資金有效運用並維護股東權益，本公司視股價變化採分批買回，故本次庫藏股未能執行完畢。"
"22","2020","美亞","2016/08/12","3",500196059,3000000,8.58,18.72,"2016/08/15","2016/10/14","Y","查詢",1000000,1000000,33.33,13251788,13.25,0.41,"因買回股份執行期間，股價已漸趨穩定，為尊重並回歸市場機制，故未全數執行完畢。"
"23","2514","龍邦","2016/08/12","3",1187085000,30000000,14.00,24.00,"2016/08/15","2016/10/14","Y","查詢",11510000,11510000,38.37,194669726,16.91,2.10,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採行分批買回策略，故未執行完畢。"
"24","2101","南港","2016/08/22","3",695918115,1400000,28.50,32.00,"2016/08/23","2016/10/22","Y","查詢",1400000,"",100.00,42085417,30.06,0.17,""
"25","6464","台數科","2016/08/26","3",4384797476,600000,120.00,160.00,"2016/08/29","2016/10/28","Y","查詢",600000,600000,100.00,76641649,127.74,0.48,""
"26","2030","彰源","2016/08/29","1",372900347,3000000,9.00,13.00,"2016/08/29","2016/10/28","Y","查詢",1862000,1862000,62.07,17833122,9.58,0.65,"為顧及股東權益及未來員工認股意願，買回股份期間股價呈穩定趨勢，採取低接不追高原則，因而未依原預定數量完全執行完畢。"
"27","6191","精成科","2016/09/05","1",5093641000,5000000,9.00,11.00,"2016/09/06","2016/11/04","Y","查詢",5000000,5000000,100.00,51648461,10.33,0.94,""
"28","8213","志超","2016/09/12","1",7046134265,15000000,22.00,46.00,"2016/09/12","2016/11/11","Y","查詢",15000000,15000000,100.00,496695132,33.11,5.53,""
"29","4916","事欣科","2016/09/22","1",342999190,1600000,36.00,50.00,"2016/09/23","2016/10/31","Y","查詢",619000,619000,38.69,24869169,40.18,0.91,"為兼顧市場機制並維護股東權益，本公司視股價變化採分批買回，故本次庫藏股未能執行完畢。"
"30","1604","聲寶","2016/10/06","3",985934926,6000000,16.00,20.00,"2016/10/07","2016/12/06","Y","查詢",6000000,6000000,100.00,114869165,19.14,1.19,""
"31","3055","蔚華科","2016/10/13","3",1563857000,10000000,17.00,25.00,"2016/10/14","2016/12/13","Y","查詢",2833000,2833000,28.33,50395808,17.79,2.66,"視資本市場整體行情及環境，並兼顧市場交易機制及維護整體股東權益，故未能執行完畢"
"32","2008","高興昌","2016/10/19","3",712940450,24790000,7.50,13.00,"2016/10/20","2016/12/19","Y","查詢",24790000,24790000,100.00,249778401,10.08,10.00,""
"33","3038","全台","2016/10/19","3",184437400,2500000,7.00,13.00,"2016/10/19","2016/12/16","Y","查詢",2500000,2500000,100.00,25293018,10.12,1.24,""
"34","2367","燿華","2016/10/20","3",2474991485,10000000,6.84,15.10,"2016/10/21","2016/12/20","Y","查詢",5947000,5947000,59.47,55162287,9.28,1.07,"為兼顧市場機制不影響股價，並維護股東權益，公司視股價變化及成交量狀況採行分批買回策略，故本次買回庫藏股未能執行完畢。"
"35","5203","訊連","2016/10/26","3",3287976020,5000000,45.00,100.00,"2016/10/27","2016/12/26","Y","查詢",4579000,4579000,91.58,310259989,67.76,4.73,"本公司為兼顧市場機制及維護全體股東權益，視股價變化及成交量狀況採分批買回策略，因而未依原預定數量完全執行完畢。"
"36","3708","上緯投控","2016/10/28","1",3234141203,1500000,55.00,145.00,"2016/10/28","2016/12/27","Y","查詢",1362000,1362000,90.80,94317074,69.25,1.50,"為兼顧市場機制及維護全體股東權益，視股價變化及成交量狀況採分批買回策略，故未依原預定數量全部執行完畢。"
"37","1626","艾美特-KY","2016/11/04","3",1402684888,1000000,17.60,40.00,"2016/11/07","2017/01/06","Y","查詢",442000,442000,44.20,11224890,25.40,0.36,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採行分批買回策略，故未執行完畢。"
"38","2514","龍邦","2016/11/04","3",2120292000,30000000,12.00,25.00,"2016/11/07","2017/01/06","Y","查詢",30000000,30000000,100.00,515218762,17.17,5.59,""
"39","3356","奇偶","2016/11/04","3",1015987579,1500000,35.00,60.00,"2016/11/07","2017/01/06","Y","查詢",1500000,1500000,100.00,68388749,45.59,1.90,""
